# CsPbBr3
# XRD
two theta,intensity
1.003500000000000014e+01,0.000000000000000000e+00
1.010500000000000043e+01,0.000000000000000000e+00
1.017500000000000071e+01,0.000000000000000000e+00
1.024500000000000099e+01,0.000000000000000000e+00
1.031499999999999950e+01,0.000000000000000000e+00
1.038499999999999979e+01,0.000000000000000000e+00
1.045500000000000007e+01,0.000000000000000000e+00
1.052500000000000036e+01,0.000000000000000000e+00
1.059500000000000064e+01,0.000000000000000000e+00
1.066499999999999915e+01,0.000000000000000000e+00
1.073499999999999943e+01,0.000000000000000000e+00
1.080499999999999972e+01,0.000000000000000000e+00
1.087500000000000000e+01,0.000000000000000000e+00
1.094500000000000028e+01,0.000000000000000000e+00
1.101500000000000057e+01,0.000000000000000000e+00
1.108500000000000085e+01,0.000000000000000000e+00
1.115500000000000114e+01,0.000000000000000000e+00
1.122499999999999964e+01,0.000000000000000000e+00
1.129499999999999993e+01,0.000000000000000000e+00
1.136500000000000021e+01,0.000000000000000000e+00
1.143500000000000050e+01,0.000000000000000000e+00
1.150499999999999901e+01,0.000000000000000000e+00
1.157499999999999929e+01,0.000000000000000000e+00
1.164499999999999957e+01,0.000000000000000000e+00
1.171499999999999986e+01,0.000000000000000000e+00
1.178500000000000014e+01,0.000000000000000000e+00
1.185500000000000043e+01,0.000000000000000000e+00
1.192500000000000071e+01,0.000000000000000000e+00
1.199500000000000099e+01,0.000000000000000000e+00
1.206500000000000128e+01,0.000000000000000000e+00
1.213499999999999979e+01,4.150984961943907738e+08
1.220500000000000007e+01,1.140446849397546768e+09
1.227500000000000036e+01,1.116113305240254879e+09
1.234500000000000064e+01,1.632790786668144226e+09
1.241499999999999915e+01,5.476612492973706245e+09
1.248499999999999943e+01,1.860122304330679321e+10
1.255499999999999972e+01,4.308456416781462097e+10
1.262500000000000000e+01,7.491924216873493958e+10
1.269500000000000028e+01,1.220881505947969055e+11
1.276500000000000057e+01,1.666258275135737000e+11
1.283500000000000085e+01,1.905228963218699951e+11
1.290500000000000114e+01,2.088791119236048889e+11
1.297500000000000142e+01,2.225519331311987305e+11
1.304499999999999993e+01,2.186504618623119507e+11
1.311500000000000021e+01,1.945073455511454163e+11
1.318500000000000050e+01,2.074552426795507812e+11
1.325500000000000078e+01,2.449875169686515198e+11
1.332499999999999929e+01,3.191627601108498535e+11
1.339499999999999957e+01,3.959078725469104004e+11
1.346499999999999986e+01,5.657302854971765137e+11
1.353500000000000014e+01,7.141985000664414062e+11
1.360500000000000043e+01,8.453467757565954590e+11
1.367500000000000071e+01,9.937367232648012695e+11
1.374500000000000099e+01,9.610617821839290771e+11
1.381500000000000128e+01,9.579475911151220703e+11
1.388500000000000156e+01,9.173994125812593994e+11
1.395500000000000007e+01,1.075036505971643188e+12
1.402500000000000036e+01,1.427590032236637207e+12
1.409500000000000064e+01,1.686120150224553711e+12
1.416499999999999915e+01,2.951749881495635742e+12
1.423499999999999943e+01,5.177683509012962891e+12
1.430499999999999972e+01,7.547970539248788086e+12
1.437500000000000000e+01,8.263457867844724609e+12
1.444500000000000028e+01,1.167981681400619531e+13
1.451500000000000057e+01,1.385175429835660742e+13
1.458500000000000085e+01,1.804428196958052734e+13
1.465500000000000114e+01,1.953028772628674219e+13
1.472500000000000142e+01,2.127205638718864062e+13
1.479500000000000171e+01,2.002571894358530469e+13
1.486500000000000021e+01,2.498116335075450000e+13
1.493500000000000050e+01,2.846290439303307031e+13
1.500500000000000078e+01,2.229187278123159375e+13
1.507499999999999929e+01,2.094665663247855469e+13
